step,S,A,E,I,Q,R,T
787,12,3,93,226,187,418,25
788,11,4,95,226,187,415,24
789,4,3,90,223,191,425,24
790,13,2,78,232,188,423,25
791,13,3,83,226,187,421,22
792,12,3,88,231,187,415,24
793,7,5,94,228,189,410,23
794,13,5,87,236,186,402,23
795,11,3,85,244,178,398,24
796,10,0,91,239,179,397,24
797,12,0,85,235,186,392,24
798,8,2,78,241,185,396,26
799,8,5,71,241,186,398,25
800,8,4,73,236,189,404,22
801,8,6,81,235,192,402,18
802,13,3,91,230,198,394,18
803,10,3,93,241,198,386,17
804,7,5,86,250,201,380,17
805,8,4,91,248,199,380,19
806,11,5,92,252,200,381,15
807,5,7,92,252,196,389,16
808,2,2,89,253,194,398,18
809,9,1,77,253,196,400,18
810,8,0,85,231,204,400,18
811,9,2,91,227,205,401,17
812,13,1,83,235,196,398,18
813,9,1,84,237,186,405,17
814,13,1,81,241,180,402,18
815,9,1,86,236,180,405,22
816,9,5,92,228,183,409,23
817,6,2,102,220,178,409,24
818,7,1,99,219,180,409,25
819,11,0,100,210,186,406,26
820,9,0,98,213,185,407,25
821,7,1,94,214,192,404,29
822,4,1,92,210,197,406,31
823,8,2,79,215,198,407,31
824,6,3,83,210,199,414,29
825,10,0,89,216,190,416,28
826,11,1,75,226,187,412,27
827,8,1,73,233,182,413,29
828,12,0,70,228,183,407,29
829,16,2,74,230,179,400,28
830,12,4,91,226,183,396,28
831,9,3,99,226,179,399,29
832,8,2,98,231,180,392,29
833,7,2,90,228,181,394,29
834,6,2,86,231,178,400,29
835,9,1,87,229,178,398,27
836,15,1,85,236,169,394,29
837,9,2,91,234,176,391,31
838,6,2,93,237,175,393,28
839,8,2,88,243,175,388,27
840,14,3,84,237,181,382,26
841,7,3,85,235,186,380,28
842,11,2,77,235,182,379,26
843,13,0,78,232,183,380,25
844,9,2,77,233,177,384,26
845,13,1,82,233,175,380,28
846,6,2,88,232,175,380,33
847,16,1,81,232,176,373,31
